品种,单位,菜篮子价,康瑞达价,日期,上传时间
本地菜心,元/公斤,10.72,8.79,2024-12-25,2024-12-26 23:08:37
小塘白菜（上海青）,元/公斤,8.58,7.03,2024-12-25,2024-12-26 23:08:37
西生菜,元/公斤,11.38,9.33,2024-12-25,2024-12-26 23:08:37
绍菜(大白菜),元/公斤,6.18,5.06,2024-12-25,2024-12-26 23:08:37
芥兰,元/公斤,11.38,9.33,2024-12-25,2024-12-26 23:08:37
椰菜花（实花）,元/公斤,10.6,8.69,2024-12-25,2024-12-26 23:08:37
青皮冬瓜,元/公斤,5.47,4.48,2024-12-25,2024-12-26 23:08:37
青豆角,元/公斤,18.29,14.99,2024-12-25,2024-12-26 23:08:37
本地芹菜,元/公斤,11.75,9.63,2024-12-25,2024-12-26 23:08:37
椰菜,元/公斤,6,4.92,2024-12-25,2024-12-26 23:08:37
云南小瓜,元/公斤,8.36,6.85,2024-12-25,2024-12-26 23:08:37
南瓜,元/公斤,6.73,5.51,2024-12-25,2024-12-26 23:08:37
荷兰豆,元/公斤,20.75,17.01,2024-12-25,2024-12-26 23:08:37
洋葱,元/公斤,7.22,5.92,2024-12-25,2024-12-26 23:08:37
蒜头,元/公斤,19.22,15.76,2024-12-25,2024-12-26 23:08:37
玉米条,元/公斤,,7.6,2024-12-25,2024-12-26 23:08:37
韭王,元/公斤,,16,2024-12-25,2024-12-26 23:08:37
小节瓜（毛节）,元/公斤,,6,2024-12-25,2024-12-26 23:08:37
水瓜,元/公斤,,6,2024-12-25,2024-12-26 23:08:37
京葱,元/公斤,,10,2024-12-25,2024-12-26 23:08:37
黄心白菜,元/公斤,,3.6,2024-12-25,2024-12-26 23:08:37
大白菜,元/公斤,,5.2,2024-12-25,2024-12-26 23:08:37
湖南红椒,元/公斤,,12,2024-12-25,2024-12-26 23:08:37
马蹄肉,元/公斤,,26,2024-12-25,2024-12-26 23:08:37
干葱头,元/公斤,,32,2024-12-25,2024-12-26 23:08:37
松菜花,元/公斤,,9,2024-12-25,2024-12-26 23:08:37
韭菜花,元/公斤,,38,2024-12-25,2024-12-26 23:08:37
线椒,元/公斤,,15,2024-12-25,2024-12-26 23:08:37
紫包菜,元/公斤,,8,2024-12-25,2024-12-26 23:08:37
荷兰豆（去丝）,元/公斤,,26,2024-12-25,2024-12-26 23:08:37
宁夏菜心,元/公斤,,8,2024-12-25,2024-12-26 23:08:37
迟菜心,元/公斤,,8,2024-12-25,2024-12-26 23:08:37
蟹味菇,元/公斤,,20,2024-12-25,2024-12-26 23:08:37
杏鲍菇,元/公斤,,10,2024-12-25,2024-12-26 23:08:37
金针菇,元/公斤,,10,2024-12-25,2024-12-26 23:08:37
水木耳,元/公斤,,18,2024-12-25,2024-12-26 23:08:37
厚海带丝,元/公斤,,11,2024-12-25,2024-12-26 23:08:37
魔芋丝4kg,元/件,,48,2024-12-25,2024-12-26 23:08:37
水晶梨2个/斤,元/公斤,,10,2024-12-25,2024-12-26 23:08:37
香蕉2只/斤,元/公斤,,8,2024-12-25,2024-12-26 23:08:37
粉蕉4只/斤,元/公斤,,12,2024-12-25,2024-12-26 23:08:37
黄柠檬2个/包/半斤,包,,7,2024-12-25,2024-12-26 23:08:37
白火龙果,元/公斤,,11,2024-12-25,2024-12-26 23:08:37
红火龙果,元/公斤,,11,2024-12-25,2024-12-26 23:08:37
江西脐橙,元/公斤,,11,2024-12-25,2024-12-26 23:08:37
沙糖桔（正）,元/公斤,,19,2024-12-25,2024-12-26 23:08:37
冻排骨,元/公斤,51.89,42.54,2024-12-25,2024-12-26 23:08:37
带鱼,元/公斤,59.78,49.01,2024-12-25,2024-12-26 23:08:37
鱿鱼,元/公斤,62,50.84,2024-12-25,2024-12-26 23:08:37
鱼腐,元/公斤,,50,2024-12-25,2024-12-26 23:08:37
生鱼,元/公斤,30.67,25.14,2024-12-25,2024-12-26 23:08:37
开刀草鱼,元/公斤,29.25,23.98,2024-12-25,2024-12-26 23:08:37
原条鲮鱼,元/公斤,39.29,32.21,2024-12-25,2024-12-26 23:08:37
鱼头（0.5-0.7kg/个）,元/公斤,,40,2024-12-25,2024-12-26 23:08:37
大鱼腩,元/公斤,,14,2024-12-25,2024-12-26 23:08:37
草鱼肉,元/公斤,,30,2024-12-25,2024-12-26 23:08:37
白贝（沙白）,元/公斤,,26,2024-12-25,2024-12-26 23:08:37
鲜泥鳅,元/公斤,,32,2024-12-25,2024-12-26 23:08:37
冻金仓鱼（杀好）,元/公斤,,126,2024-12-25,2024-12-26 23:08:37
九肚鱼（豆腐鱼）杀,元/公斤,,70,2024-12-25,2024-12-26 23:08:37
精瘦肉,元/公斤,41.11,33.71,2024-12-25,2024-12-26 23:08:37
排骨,元/公斤,62.89,51.56,2024-12-25,2024-12-26 23:08:37
猪肝,元/公斤,,22,2024-12-25,2024-12-26 23:08:37
猪肚,元/个,,56,2024-12-25,2024-12-26 23:08:37
猪大利,元/公斤,,32,2024-12-25,2024-12-26 23:08:37
猪耳仔,元/公斤,,50,2024-12-25,2024-12-26 23:08:37
猪头骨,元/公斤,,15,2024-12-25,2024-12-26 23:08:37
肉胶,元/公斤,,58,2024-12-25,2024-12-26 23:08:37
牛展,元/公斤,,132,2024-12-25,2024-12-26 23:08:37
牛骨,元/公斤,,25,2024-12-25,2024-12-26 23:08:37
牛板筋,元/公斤,,100,2024-12-25,2024-12-26 23:08:37
牛肚,元/公斤,,55,2024-12-25,2024-12-26 23:08:37
牛百叶,元/公斤,,142,2024-12-25,2024-12-26 23:08:37
牛心,元/公斤,,40,2024-12-25,2024-12-26 23:08:37
牛腩（坑腩）,元/公斤,,110,2024-12-25,2024-12-26 23:08:37
驴肉,元/公斤,,125,2024-12-25,2024-12-26 23:08:37
板豆腐3.0kg/板,板,,12,2024-12-25,2024-12-26 23:08:37
客家豆腐7.5kg/板,板,,24.5,2024-12-25,2024-12-26 23:08:37
大豆泡,元/公斤,,17.5,2024-12-25,2024-12-26 23:08:37
千张,元/公斤,,11.5,2024-12-25,2024-12-26 23:08:37
老豆腐,元/公斤,,5.5,2024-12-25,2024-12-26 23:08:37
白干,元/公斤,,7.5,2024-12-25,2024-12-26 23:08:37
熏干,元/公斤,,9.5,2024-12-25,2024-12-26 23:08:37
香干,元/公斤,,9,2024-12-25,2024-12-26 23:08:37
攸县香干,元/公斤,,10.5,2024-12-25,2024-12-26 23:08:37
油豆干 ,元/公斤,,13,2024-12-25,2024-12-26 23:08:37
油面筋,元/公斤,,23,2024-12-25,2024-12-26 23:08:37
豆腐串,元/串,,1.2,2024-12-25,2024-12-26 23:08:37
萝卜条,元/公斤,,9.23,2024-12-25,2024-12-26 23:08:37
咸菜,元/公斤,,9.23,2024-12-25,2024-12-26 23:08:37
雪里红,元/公斤,,8.09,2024-12-25,2024-12-26 23:08:37
酸豆角,元/公斤,,9.84,2024-12-25,2024-12-26 23:08:37
梅菜,元/公斤,,10,2024-12-25,2024-12-26 23:08:37
榨菜,元/公斤,,6.14,2024-12-25,2024-12-26 23:08:37
榨菜丝,元/公斤,,6.14,2024-12-25,2024-12-26 23:08:37
泡椒,元/公斤,,7,2024-12-25,2024-12-26 23:08:37
